ProductID,ProductCategory,QuantitySold,RevenueGenerated
1,Furniture,47,3775.24
2,Furniture,50,4771.74
3,Furniture,61,1571.44
4,Electronics,14,601.65
5,Furniture,17,1000.06
6,Books,10,332.63
7,Toys,74,6250.36
8,Books,63,2154.6
9,Books,77,5797.84
10,Books,13,402.46
11,Electronics,40,2354.56
12,Furniture,80,3210.3
13,Clothing,41,2824.1
14,Electronics,81,3316.14
15,Toys,56,2572.17
16,Toys,4,286.57
17,Clothing,15,1407.54
18,Furniture,32,3100.49
19,Clothing,70,2696.41
20,Clothing,30,961.65
21,Clothing,56,3567.63
22,Toys,16,1391.81
23,Books,63,1162.39
24,Sports,69,5294.73
25,Sports,65,4309.8
26,Books,19,1852.64
27,Electronics,7,441.38
28,Electronics,65,716.31
29,Sports,10,382.8
30,Clothing,50,4146.88
31,Toys,99,7672.9
32,Electronics,29,888.51
33,Electronics,50,943.09
34,Sports,44,1658.1
35,Electronics,51,4404.04
36,Toys,40,3785.6
37,Clothing,82,7749.98
38,Sports,6,235.68
39,Electronics,65,5330.43
40,Sports,32,2909.07
41,Clothing,88,6245.85
42,Furniture,48,3188.71
43,Toys,34,2989.45
44,Electronics,4,101.3
45,Books,4,285.48
46,Furniture,56,4816.59
47,Sports,39,1075.37
48,Furniture,91,1056.57
49,Toys,6,414.37
50,Electronics,38,3065.41
51,Furniture,41,3958.81
52,Electronics,43,3001.26
53,Furniture,77,7309.46
54,Toys,7,138.45
55,Toys,78,5641.84
56,Clothing,63,4643.43
57,Electronics,73,1819.92
58,Electronics,38,1872.06
59,Clothing,3,280.61
60,Toys,24,1643.16
61,Furniture,39,2701.2
62,Sports,85,3542.59
63,Clothing,42,2558.63
64,Toys,60,2226.96
65,Furniture,56,4431.42
66,Toys,22,1485.12
67,Sports,50,4994.88
68,Clothing,93,5845.31
69,Sports,54,3192.54
70,Toys,43,4068.03
71,Electronics,86,6034.31
72,Furniture,79,6717.53
73,Sports,78,2193.39
74,Furniture,99,8246.45
75,Clothing,7,483.36
76,Sports,27,652.93
77,Clothing,48,1900.99
78,Sports,11,248.55
79,Electronics,70,4760.59
80,Books,65,2553.93
81,Electronics,57,1208.21
82,Clothing,15,565.08
83,Toys,46,1958.3
84,Clothing,81,6064.22
85,Clothing,1,57.6
86,Clothing,16,595.54
87,Toys,95,7895.03
88,Electronics,80,7126.63
89,Clothing,49,4747.99
90,Electronics,37,799.49
91,Furniture,99,7666.04
92,Electronics,12,333.38
93,Furniture,73,3431.42
94,Sports,89,2923.01
95,Clothing,37,1042.56
96,Books,2,92.92
97,Clothing,54,2860.67
98,Clothing,16,1486.98
99,Sports,16,1186.22
100,Electronics,5,123.32
101,Books,58,3849.61
102,Toys,18,603.92
103,Books,19,1462.23
104,Clothing,44,2012.41
105,Electronics,95,4825.97
106,Furniture,28,2462.86
107,Electronics,88,5959.25
108,Furniture,27,2206.56
109,Furniture,74,911.51
